run,solution_idx,f1,f2,chromosome,n_evaluations,n_generations
0,0,868605.1839152203,54.77927870098328,"36,3,30,10,30,2,31,39,35,7,33,32,13,37,12,15,13,17,16,24,12,29,11,5,26,33,27,21,33,8,10,4,27,8,33,19,21,29,39,10,4,13,24,14,10,31,4,2,1,35,32,9,6,27,14,25,30,40,16,26,22,5,26,21,10,20,22,13,14,36,24,23,17,37,18,34,5,11,30,16,34,6,14,16,23,31,11,24,21,22,29,19,9,30,18,38,4,28,39,12,2,12,3,14,13,40,34,38,31,26,26,25,13,18,15,30,22,29,16,39,4,17,4,3,35,11,15,24,13,14,31,5,11,35,3,2,21,2,35,32,33,4,17,6,34,37,1,7,29,6,20,19,25,20,33,14,33,17,22,15,35,11,5,27,21,7,8,23,5,34,11,5,34,23,39,29,3,11,33,28,34,17,12,18,25,2,3,26,20,40,30,23,31,29,28,10,7,15,10,18,17,30,19,20,23,2,6,24,11,31,36,35,38,27,28,37,26,2,38,37,3,21,2,7,36,36,17,12,22,36,24,35,5,13,16,16,13,38,1,1,8,39,4,16,9,19,1,33,33,18,21,7,28,23,1,25,30,23,39,1,8,29,17,17,37,16,32,7,23,16,4,30,37,7,21,20,2,39,18,2,38,23,37,18,11,3,25,9,39,32,9,35,29,26,20,40,32,20,15,38,33,31,16,23,9,18,5,8,19,4,38,18,28,31,32,1,39,10,36,7,28,17,36,6,37,7,36,34,32,38,35,39,40,32,26,32,8,13,1,40,34,24,13,11,36,11,9,11,36,22",20100,200
0,1,891196.5622011014,54.495131663296306,"36,3,30,10,2,2,31,31,35,7,11,32,13,28,12,15,13,17,16,24,12,29,11,5,36,33,27,21,11,8,10,2,1,8,11,19,21,29,39,10,22,13,24,26,19,31,4,2,1,35,32,18,6,22,14,25,30,23,16,26,22,5,26,21,10,20,22,13,14,36,4,23,25,37,18,34,15,11,30,16,1,6,14,16,23,35,2,24,16,22,29,19,9,7,18,38,4,28,39,12,2,4,3,38,25,40,34,13,31,26,26,25,13,18,15,30,22,7,16,8,4,17,4,37,17,27,32,35,13,14,31,5,14,35,11,26,21,2,35,32,33,4,25,6,37,37,1,7,29,6,20,19,32,20,39,14,34,17,16,15,35,11,40,27,26,7,8,23,18,21,11,5,17,23,7,40,3,11,33,39,34,17,12,18,25,2,3,8,20,40,30,23,31,29,28,10,7,3,6,34,17,30,19,20,23,2,6,24,15,31,36,35,38,27,28,37,26,39,38,37,9,21,2,7,9,39,12,12,20,14,35,25,5,26,10,16,5,38,38,1,8,39,4,16,9,19,1,33,33,18,21,3,28,23,1,25,30,23,39,1,31,29,17,17,37,24,32,12,23,16,1,33,37,7,21,20,2,39,2,2,38,25,37,18,22,22,26,9,32,32,9,35,29,26,20,40,32,4,15,38,33,31,16,23,9,18,5,8,19,17,38,34,28,28,32,1,39,10,36,7,27,17,36,6,37,7,36,34,32,24,35,9,40,27,26,32,8,13,1,40,2,25,13,11,36,11,39,11,36,22",20100,200
0,2,860898.4624010227,55.75409738306235,"36,3,30,5,5,2,31,36,35,7,11,32,13,28,12,15,13,5,16,5,12,29,11,5,23,35,27,5,40,8,23,2,5,21,11,19,21,29,18,10,33,31,24,26,19,31,23,27,1,34,32,38,34,27,14,25,28,37,20,26,7,5,15,21,39,32,36,13,14,36,21,23,33,27,22,27,15,34,30,13,34,6,39,18,2,40,30,24,16,22,9,19,26,30,18,38,4,28,11,31,3,27,40,14,9,40,34,4,33,26,31,25,12,32,2,40,22,7,38,39,1,17,4,3,11,27,15,30,34,3,13,23,14,7,3,18,21,18,2,31,33,1,31,6,37,37,1,7,29,6,20,4,9,20,39,22,22,14,25,33,35,11,37,22,26,14,8,27,28,40,20,5,17,28,2,33,3,11,8,28,23,4,12,18,13,2,3,8,20,40,18,23,31,22,28,24,10,3,1,18,7,14,37,38,23,27,15,24,11,31,15,35,19,40,29,27,26,2,38,37,12,21,32,7,11,39,17,12,20,36,24,4,35,8,16,15,10,5,38,1,29,2,1,16,25,19,20,12,33,18,21,34,29,38,20,25,30,23,39,1,8,25,24,17,37,1,32,39,23,16,14,18,37,7,38,32,6,3,11,2,12,36,37,18,5,28,33,17,32,20,9,13,10,17,20,30,35,29,15,38,35,27,3,11,9,6,20,23,19,7,38,16,30,28,32,1,32,29,17,36,28,17,36,6,37,5,19,34,10,38,35,39,40,10,26,10,26,13,1,17,2,25,32,11,4,13,9,11,36,24",20100,200
1,0,790028.184213081,49.04354570175366,"1,27,22,12,18,4,17,11,10,33,32,16,25,32,1,17,19,32,19,14,39,29,29,39,36,37,11,6,37,5,32,14,36,35,25,33,17,13,14,18,9,12,39,21,13,19,6,5,23,21,38,34,4,34,4,34,35,13,10,36,32,2,15,34,15,15,40,22,8,23,36,36,40,38,26,14,20,28,17,20,34,20,2,30,29,10,35,28,23,5,1,1,27,23,4,10,35,5,18,24,35,21,29,25,19,9,40,31,31,7,35,15,14,14,28,37,16,3,14,38,32,10,30,33,18,31,3,1,39,30,40,40,38,8,23,30,22,23,15,11,7,11,18,29,36,38,36,35,40,11,29,36,24,34,38,32,30,9,24,12,33,38,19,8,7,10,2,38,30,40,31,6,27,10,29,23,24,10,16,28,3,27,37,25,16,15,20,13,10,21,36,7,18,27,3,39,32,5,13,11,28,2,38,10,16,28,16,33,17,29,32,8,20,13,8,26,38,12,36,34,4,26,9,25,18,4,25,17,19,39,4,27,37,25,9,33,28,14,19,33,21,34,20,5,10,1,31,30,8,30,17,14,6,39,7,36,7,3,3,31,11,9,25,30,17,15,6,12,5,22,9,8,26,2,12,34,26,29,3,9,19,29,30,1,21,24,4,29,37,11,12,3,14,21,18,35,26,24,6,25,32,3,4,9,20,40,18,5,23,3,19,20,13,37,31,23,17,21,22,15,28,28,8,16,24,6,10,20,19,7,16,22,37,16,13,10,32,26,32,20,33,24,10,28,33,12,40,34,10,21",20100,200
2,0,837013.0418613572,54.21871793947179,"27,34,8,13,16,17,15,36,34,33,28,8,29,7,2,34,40,27,15,26,37,4,26,27,27,23,17,37,22,7,17,15,40,24,28,30,33,18,18,10,22,10,30,30,20,15,24,21,27,25,11,13,6,14,13,9,38,24,7,3,18,4,7,18,13,7,32,13,36,28,21,28,35,34,38,33,17,9,3,22,14,38,34,29,18,38,10,28,4,2,37,36,16,5,22,20,15,19,12,1,11,10,30,3,6,5,19,24,30,12,36,18,26,33,8,26,31,16,1,19,39,34,16,4,35,29,11,37,22,16,3,23,9,40,32,11,14,40,4,1,38,28,10,21,11,25,29,11,24,4,5,27,9,11,11,14,38,23,3,31,8,18,26,3,25,4,16,24,29,35,12,40,13,31,38,18,24,36,40,20,32,29,31,15,5,17,39,26,29,1,5,28,22,22,35,12,9,39,9,14,8,9,6,23,30,5,20,21,36,16,9,9,15,10,33,40,27,5,23,27,39,20,10,30,19,15,36,37,22,29,34,11,10,7,12,16,28,39,23,4,36,27,22,33,40,22,15,16,25,31,16,7,13,38,25,19,6,31,37,14,17,1,19,32,25,31,6,29,34,23,39,26,20,17,16,35,32,32,16,38,21,14,8,6,21,38,38,2,14,21,21,14,8,2,39,33,37,30,28,20,26,2,3,3,12,2,24,7,40,19,19,30,5,34,12,23,10,28,19,5,34,11,2,14,33,1,38,1,22,26,18,37,2,4,35,40,8,28,24,8,33,19,28,3,23,23,35,3,11,1",20100,200
2,1,875154.1542803558,53.74541259493688,"18,38,31,13,16,17,9,20,25,33,39,8,29,12,2,5,40,27,20,35,40,4,26,27,24,23,33,17,22,7,17,15,25,17,13,19,1,18,18,36,22,27,39,30,15,17,5,21,27,5,2,13,6,2,37,36,6,35,6,19,18,24,6,32,13,7,32,13,22,28,21,28,33,9,16,33,9,16,3,23,14,29,24,29,8,18,10,18,31,2,25,5,17,5,8,36,15,7,12,8,11,10,30,3,17,26,36,24,30,2,36,18,26,38,22,1,31,16,5,34,39,30,16,4,40,29,13,29,22,1,3,16,9,4,9,11,16,1,4,1,38,28,20,21,11,23,13,11,39,30,28,27,29,11,33,2,4,23,3,31,8,34,7,37,25,4,25,5,29,35,12,20,10,40,38,18,34,36,1,30,32,24,6,15,10,17,39,26,2,1,4,12,22,22,35,12,33,39,8,30,5,3,3,23,30,22,20,21,36,12,9,14,21,20,33,21,27,4,23,27,39,20,10,30,28,15,36,37,22,14,34,37,10,7,15,16,28,39,23,5,18,27,11,14,29,27,15,29,31,4,10,7,40,38,25,35,6,8,28,14,17,40,33,28,22,31,28,29,6,25,39,17,4,26,34,35,32,2,28,38,18,19,24,6,21,8,38,2,19,9,21,23,8,26,39,24,37,19,15,20,15,2,20,17,19,29,4,7,35,34,19,24,5,34,12,37,12,28,40,23,34,33,24,14,40,1,16,4,7,26,38,37,36,13,8,30,12,1,26,8,25,19,10,3,23,36,34,30,23,1",20100,200
2,2,832070.2257337396,55.939872854699985,"6,34,8,2,16,17,15,12,34,13,22,4,7,8,2,34,28,31,15,39,33,3,15,25,5,23,13,26,22,16,17,15,25,2,15,19,33,12,22,36,22,9,30,30,36,17,11,21,27,39,11,29,35,38,37,36,1,24,33,31,18,4,6,1,13,7,6,13,29,24,32,28,35,35,38,36,16,16,5,23,28,37,25,29,8,38,37,28,32,2,25,36,22,5,12,20,5,19,34,1,11,27,30,34,23,5,26,24,37,12,33,18,26,12,38,13,31,16,36,2,39,30,16,4,35,29,11,16,20,16,33,32,26,4,40,11,16,40,26,1,38,6,10,21,11,23,27,11,30,4,28,27,3,11,28,9,8,23,3,11,8,32,26,3,25,4,25,27,29,35,12,37,30,10,38,18,18,28,16,20,32,29,31,12,36,32,3,9,26,1,4,26,30,22,40,39,38,39,9,28,35,9,6,14,28,33,4,21,36,40,4,18,15,10,33,40,14,1,37,5,28,20,13,34,9,15,17,37,33,14,12,37,10,7,12,27,28,8,23,4,29,27,22,14,40,20,20,14,21,31,16,7,10,38,35,24,6,19,37,14,17,1,17,5,18,31,29,29,7,23,39,25,20,26,16,35,13,14,28,38,18,6,14,6,21,9,8,2,19,9,21,14,8,27,31,33,26,8,40,8,23,14,8,3,19,2,30,19,35,19,29,30,21,18,12,7,10,30,11,40,10,31,24,40,17,24,11,1,7,5,22,37,3,13,24,8,26,1,26,8,33,19,20,3,23,23,34,3,37,1",20100,200
3,0,807238.259108535,48.865318734251595,"38,12,26,17,28,22,1,24,29,18,31,9,11,17,31,23,23,3,9,14,26,36,20,11,13,15,37,28,9,27,4,18,2,34,37,32,34,40,15,18,9,17,1,27,13,16,4,15,11,37,16,15,29,32,1,5,36,1,18,24,30,13,33,13,21,24,39,15,10,16,20,35,22,28,8,23,39,23,8,40,8,5,20,23,13,15,27,27,19,29,28,31,11,16,27,5,8,39,2,33,18,31,22,9,38,2,33,25,4,8,13,30,40,36,35,31,36,8,15,32,9,4,32,35,33,6,26,28,12,34,4,9,14,22,3,12,20,7,13,32,7,39,38,10,25,6,11,29,37,15,34,18,25,32,25,4,18,15,17,19,24,16,26,12,37,7,11,11,15,18,28,36,2,24,8,15,1,14,18,5,32,6,27,2,1,4,12,9,22,30,29,29,31,9,37,18,11,35,13,14,21,26,27,1,3,22,7,24,33,7,36,28,5,3,37,16,13,22,7,12,27,10,34,20,7,33,17,40,36,26,9,3,21,3,20,33,5,9,38,10,16,14,40,32,1,12,5,28,5,34,13,40,19,35,24,3,6,21,38,15,5,17,40,14,35,30,4,7,6,14,7,23,10,25,8,34,25,9,16,40,21,37,39,35,25,6,27,25,37,29,26,38,5,39,32,36,30,21,30,30,6,1,14,32,19,16,38,39,10,26,4,3,39,14,36,4,25,2,24,19,30,35,9,21,27,31,32,20,35,23,16,2,22,40,40,14,24,26,5,21,33,18,21,19,39,18,38,14,40,28",20100,200
3,1,740772.0783427473,52.008839392933965,"38,12,23,17,28,14,1,24,29,18,31,9,11,17,31,23,23,3,9,7,26,26,20,11,39,15,37,28,22,22,4,18,2,34,37,27,11,40,15,18,9,17,1,27,13,16,4,15,11,37,16,1,3,32,1,5,36,16,12,24,30,13,33,13,33,34,39,28,10,16,20,35,22,28,8,5,33,23,8,40,21,25,20,23,13,15,6,27,19,29,28,31,25,16,27,5,8,21,2,33,18,31,5,9,38,2,18,25,4,8,24,30,22,36,35,31,36,8,15,32,9,4,32,35,33,6,26,28,12,34,26,9,14,22,3,12,20,15,13,32,11,39,38,2,21,6,26,29,37,15,34,18,25,32,17,4,18,29,10,19,24,16,37,12,37,11,11,22,15,12,28,36,2,24,8,30,1,14,39,38,32,6,27,2,1,4,12,9,22,40,29,17,31,9,20,18,11,35,13,14,21,15,21,1,3,22,7,24,33,7,36,3,5,3,37,16,13,14,7,12,27,10,21,20,7,33,17,39,36,26,6,3,13,31,20,33,17,9,38,10,36,14,1,32,1,22,5,28,5,34,13,40,9,21,24,3,7,40,38,15,5,17,40,23,35,30,22,7,6,14,7,23,5,25,8,34,25,9,18,32,21,37,39,35,25,9,27,25,37,29,26,38,12,31,32,36,30,21,30,30,6,1,14,32,19,28,38,39,10,26,4,3,39,14,17,4,40,16,24,19,35,35,16,21,27,31,32,26,35,23,2,2,22,40,40,14,24,19,5,21,33,18,19,4,39,9,38,14,40,28",20100,200
4,0,752138.6742509142,47.47546076658972,"32,11,30,24,16,24,35,3,32,3,33,39,27,3,34,18,11,2,10,15,15,40,27,30,36,20,40,39,16,19,11,36,2,24,35,16,20,12,1,13,27,39,20,21,25,40,1,39,12,11,39,35,37,35,16,19,30,33,10,14,10,30,21,13,31,30,10,31,29,3,39,25,28,9,23,4,35,4,11,33,34,21,25,30,10,20,38,17,38,3,22,20,17,40,14,34,24,29,19,20,3,35,9,38,36,7,36,3,23,19,37,8,37,40,8,9,17,34,37,6,7,12,8,9,38,9,26,13,9,22,30,22,8,21,23,21,7,17,3,13,32,29,29,20,15,31,28,21,13,16,25,26,36,25,18,28,29,15,28,20,27,25,38,4,17,33,12,26,6,14,15,14,22,15,21,1,31,4,16,18,37,27,13,3,32,11,33,16,26,26,39,11,26,28,36,17,27,33,8,2,7,15,23,32,17,33,33,12,9,6,37,1,22,14,40,20,18,39,5,7,1,34,3,25,33,17,5,31,21,33,12,7,2,36,29,15,27,11,27,11,4,34,38,18,15,18,29,10,14,6,19,40,4,4,1,6,6,6,13,22,34,18,38,2,1,27,29,28,12,36,14,7,2,8,15,12,32,39,10,18,38,2,13,23,17,38,27,11,5,9,28,11,13,19,4,5,39,14,1,32,10,25,33,9,32,31,26,19,2,15,5,10,26,23,32,10,9,35,30,35,7,36,32,24,40,37,31,39,37,7,25,21,6,13,6,4,16,25,26,13,38,1,8,35,19,1,33,25,40,24",20100,200
