run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,207900.7542762526,17.305074400302356,10050,200
1,0,208541.48027710515,16.202024564849914,10050,200
2,0,210906.81847551774,16.99722330264564,10050,200
2,1,211006.23985277856,16.271004885992753,10050,200
3,0,183168.66115306458,13.914941609651118,10050,200
4,0,218549.2705124665,17.302762785173933,10050,200
5,0,201551.09651954047,15.690302737678454,10050,200
6,0,224824.10363488484,19.041680598098477,10050,200
7,0,207103.66395116528,14.35080485547762,10050,200
8,0,179999.80006096224,12.925385874317255,10050,200
9,0,222153.88857451046,18.197406408606696,10050,200
10,0,218390.7715942455,17.274999276410984,10050,200
10,1,218020.3746256995,17.80858220072558,10050,200
11,0,233364.12474880597,17.355852039009783,10050,200
12,0,208498.89283997318,15.381339343503218,10050,200
12,1,216686.2927931447,15.10051654745625,10050,200
13,0,200538.5738458064,16.60438496301504,10050,200
13,1,210511.80802423658,16.456779757899174,10050,200
14,0,227911.38898914366,16.707650942008573,10050,200
15,0,225261.5517553461,16.49319859821011,10050,200
15,1,221228.9955203048,17.92946178779497,10050,200
16,0,200047.51573058267,15.497922441411301,10050,200
17,0,252889.30641996342,21.19116797158665,10050,200
18,0,184229.535313943,15.10051654745625,10050,200
19,0,194042.61094097234,14.895153574233467,10050,200
20,0,175279.88630075223,12.28761978578439,10050,200
21,0,248851.94469769197,19.17982273119332,10050,200
22,0,223281.13126101642,17.24487170146534,10050,200
22,1,241686.34800733253,17.158834459251597,10050,200
23,0,233810.01818088136,18.841061541218956,10050,200
24,0,276042.3557556359,21.440746255669367,10050,200
24,1,276043.5848119562,21.2909746136714,10050,200
25,0,262905.7922395805,20.737058614953085,10050,200
25,1,259692.72397591308,21.170394422400353,10050,200
26,0,241458.18171708315,18.94691531621968,10050,200
27,0,210233.27425321355,18.94480403699125,10050,200
27,1,211197.94924287804,18.578094627813694,10050,200
28,0,225206.16032620647,19.04588144455383,10050,200
28,1,221445.60541347798,19.407874690444597,10050,200
29,0,367898.34462632966,20.049894361040632,10050,200
29,1,265620.93105870584,22.269836101776768,10050,200
29,2,252065.20675242337,22.327238969474035,10050,200
30,0,207996.46661597633,18.59961289919766,10050,200
30,1,222116.23721368046,17.193766312242353,10050,200
