run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,167276.33789427945,47.31186635943142,10050,200
0,1,213747.97226730688,45.97135063672895,10050,200
1,0,145000.60831232078,50.18189137749017,10050,200
1,1,167717.41990753505,49.0600539022216,10050,200
1,2,186627.24798699748,47.68181577452305,10050,200
2,0,152173.90820395842,40.47731090886224,10050,200
3,0,191726.72340233356,50.75931379075112,10050,200
3,1,179865.77503979317,52.71516754112509,10050,200
3,2,194967.2454232325,46.27488605458774,10050,200
4,0,147158.17826398186,36.722036116042595,10050,200
5,0,196895.88449795477,46.19248891049314,10050,200
5,1,162241.50744885323,47.60085366714834,10050,200
6,0,145187.04447116022,41.35598457681137,10050,200
6,1,174231.60817464505,37.16928241916375,10050,200
7,0,227039.92735994048,56.551984793877786,10050,200
7,1,246341.95496117382,50.634388214347666,10050,200
7,2,204194.5200728086,62.4540465983425,10050,200
8,0,165970.23644838508,47.036291291009526,10050,200
8,1,170104.53474413045,41.08566350969333,10050,200
9,0,140131.30037214648,39.3837449346728,10050,200
10,0,226597.26781219422,49.06393625943439,10050,200
10,1,218299.26594766247,55.649698012557884,10050,200
10,2,205685.02400973404,57.50472720388865,10050,200
11,0,177696.5999567269,44.6652451799397,10050,200
11,1,156409.96656271868,52.421672484114296,10050,200
11,2,169302.14797191325,47.5978524258769,10050,200
12,0,136956.43223406514,43.22073282617667,10050,200
13,0,189625.2780237844,42.99649302790185,10050,200
14,0,231060.6721062261,50.784637097052936,10050,200
14,1,196777.39863791794,58.428901306943196,10050,200
14,2,181154.12278737198,62.72717443579308,10050,200
14,3,197827.55956260744,51.15832877620811,10050,200
14,4,243460.58615152203,50.21035117462698,10050,200
15,0,267103.2003040655,48.706441671687124,10050,200
15,1,218367.3892495264,51.64008532814806,10050,200
16,0,130196.26015123323,39.00590105945916,10050,200
17,0,177830.0004095905,42.76662398394485,10050,200
18,0,143188.1309684781,48.5095310549855,10050,200
18,1,153778.1943457752,42.560134860748256,10050,200
19,0,161549.78103041492,39.48156089611518,10050,200
20,0,116696.52276718183,39.49362013979007,10050,200
21,0,174544.72137805703,49.91357610275063,10050,200
21,1,230097.49652721896,44.27009453165048,10050,200
22,0,190195.1843906069,43.206407520108066,10050,200
22,1,174072.80520723172,48.61641240934542,10050,200
23,0,162906.3962271645,40.595957262167694,10050,200
24,0,205862.72303275001,48.017192688148626,10050,200
24,1,219667.16334170362,44.7547106680864,10050,200
24,2,187464.69188652578,50.27385321874898,10050,200
25,0,192175.60996983858,57.96906673746524,10050,200
25,1,205338.49979092914,51.26897635517932,10050,200
26,0,194550.3745289804,45.34243606089673,10050,200
26,1,178380.47923358282,53.113834027298054,10050,200
26,2,192858.4560199215,52.31073215328475,10050,200
27,0,163325.7365682798,50.03459120908571,10050,200
27,1,200244.8210805031,44.78768254706318,10050,200
27,2,181387.6217347258,47.16973740635119,10050,200
28,0,198828.48434782482,44.61617615398225,10050,200
29,0,240204.62716475083,49.30307952647229,10050,200
29,1,179620.99308110774,60.55248281122066,10050,200
29,2,204521.3614180385,52.300717771031394,10050,200
30,0,200646.31850815166,49.831461981107914,10050,200
30,1,231572.18237117186,47.13135982936498,10050,200
