run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,610516.1594275115,68.04350548768967,20100,200
1,0,666029.223373625,74.08152593735566,20100,200
1,1,629570.5685870779,77.3712042974508,20100,200
2,0,580695.7407469727,62.750386028657715,20100,200
3,0,651152.7676411564,69.62589168477061,20100,200
3,1,653845.4591022483,69.2386854448449,20100,200
4,0,493430.3845927789,58.70915425126994,20100,200
5,0,640302.8347354385,71.18985575298055,20100,200
6,0,605259.4809342122,63.75490467267977,20100,200
7,0,671016.1327393114,73.30334356299713,20100,200
7,1,664988.5636441866,76.77436586802831,20100,200
8,0,638620.971367228,78.46750542921588,20100,200
8,1,666259.0167617134,72.22451230375178,20100,200
9,0,633628.9083902475,71.24332212036131,20100,200
10,0,613222.2265257153,66.44716947591482,20100,200
11,0,662873.298954229,75.64285634464322,20100,200
12,0,707373.4367766123,67.13874400631548,20100,200
12,1,696861.6292668596,72.38037468163076,20100,200
12,2,655633.6655349669,77.07635689950199,20100,200
12,3,682400.7165662695,75.80133056864062,20100,200
13,0,630760.6099553838,68.33961701998241,20100,200
14,0,626344.4093186007,71.73237779182173,20100,200
15,0,677237.5022552666,73.09106138535594,20100,200
15,1,663176.0605167847,77.866227648988,20100,200
16,0,642912.562477806,73.25138082588893,20100,200
16,1,660627.6449881884,70.56145292617815,20100,200
17,0,533225.6196965723,57.23564133521397,20100,200
17,1,493433.8624981382,57.277960795574835,20100,200
18,0,611894.859307085,69.00777119431623,20100,200
19,0,598179.3420903097,64.84593712893798,20100,200
20,0,582288.0354171849,63.96690388708373,20100,200
20,1,586820.2588548108,62.971875473037294,20100,200
20,2,580962.9648722721,66.6009599767337,20100,200
21,0,644617.547575662,73.60755725608004,20100,200
22,0,617136.4060670297,66.28954106371434,20100,200
23,0,602002.8319353247,65.03605053985432,20100,200
24,0,638441.6965511173,74.64270911260282,20100,200
24,1,719248.4237655954,73.66605642914847,20100,200
25,0,498699.77035971044,59.38074170307323,20100,200
26,0,578165.343513309,60.454650713567176,20100,200
27,0,584054.0689540548,67.5795498810859,20100,200
28,0,599755.921495788,62.078698382773844,20100,200
28,1,558811.6525618476,66.52642176533628,20100,200
29,0,648488.8293640238,80.62254996048053,20100,200
29,1,662860.3179055721,73.3573667359855,20100,200
30,0,588624.8277066131,65.09988910996836,20100,200
