run,solution_idx,f1,f2,chromosome,n_evaluations,n_generations
0,0,235087.58971597487,17.541823039683063,"27,3,22,28,23,29,8,30,13,14,20,11,16,30,3,11,5,9,24,18,12,17,10,5,21,16,9,11,29,11,16,25,6,18,12,21,2,15,7,26,8,4,8,29,26,21,4,14,29,9,24,18,19,16,21,27,18,12,22,3,10,23,5,9,10,14,17,26,17,23,20,4,30,15,4,27,13,29,24,22,25,3,26,29,20,24,2,13,18,24,6,12,1,21,27,13,4,8,28,20,6,1,23,29,18,7,28,4,10,25,29,15,22,19,19,5,5,13,14,21,2,17,27,7",20100,200
1,0,212048.3630448227,15.984853942265334,"9,27,26,27,6,7,21,17,24,19,19,1,30,21,15,24,3,22,30,25,7,28,27,19,28,18,28,23,27,23,22,29,16,1,9,25,14,30,5,16,13,18,13,11,24,12,1,27,10,8,15,11,23,16,9,3,25,25,9,5,12,12,24,10,4,21,11,24,28,11,2,12,6,20,4,28,28,3,16,11,2,18,10,19,20,4,2,12,8,16,11,19,25,12,29,20,29,16,8,26,1,14,7,1,6,13,15,12,24,23,17,10,29,26,21,21,2,2,27,15,20,3,5,5",20100,200
2,0,255999.5581619661,20.576253843258794,"11,11,8,14,27,30,2,1,5,22,13,29,11,12,25,3,21,16,4,5,26,23,9,25,5,14,12,26,3,11,7,8,23,5,24,20,2,24,10,27,6,18,12,28,19,17,29,3,14,6,10,11,5,7,17,21,28,24,11,3,29,10,20,13,20,2,13,25,16,22,19,20,6,19,27,13,20,6,10,5,17,7,12,16,18,5,15,9,25,9,17,15,23,25,3,15,16,30,4,30,1,22,17,9,6,21,15,25,6,26,28,10,9,4,23,13,2,10,1,18,14,13,9,11",20100,200
2,1,257467.74988133006,18.422329446142857,"18,11,8,14,27,30,2,1,9,22,13,29,13,12,25,25,18,16,4,5,26,7,9,25,5,14,12,11,3,11,7,8,23,28,24,20,2,24,26,27,6,28,2,20,19,17,29,3,14,5,10,11,5,13,17,21,28,24,11,3,29,10,20,13,20,2,13,25,16,21,19,20,6,19,27,13,20,6,10,5,17,7,12,13,18,23,15,9,25,9,17,19,23,25,3,15,19,30,4,30,1,22,17,4,6,21,15,25,6,26,28,10,9,4,22,30,8,25,1,18,14,13,9,11",20100,200
3,0,296323.421935281,22.621130731145062,"24,18,4,24,4,30,21,1,7,15,15,14,28,28,10,6,16,20,3,11,18,13,25,10,27,9,17,30,10,6,14,11,26,15,25,8,22,20,12,20,8,6,8,5,23,5,3,29,12,29,21,27,11,23,3,22,16,6,21,24,28,19,29,11,12,11,5,16,27,16,27,21,2,20,13,15,30,2,10,26,15,9,16,29,6,13,2,23,25,7,5,5,8,7,2,18,14,12,17,7,7,19,30,6,28,5,17,25,29,1,26,3,8,4,21,2,7,7,19,6,16,28,21,9",20100,200
3,1,362989.2861336785,22.27623571801497,"8,15,4,24,4,30,21,1,7,15,29,14,28,22,10,6,16,20,3,12,18,23,15,10,27,9,17,30,10,6,14,11,26,15,25,8,22,20,11,3,8,6,1,29,23,5,3,29,4,29,21,27,11,23,3,22,16,21,12,24,13,23,29,15,12,11,24,22,27,1,27,21,2,20,13,15,30,2,7,26,12,9,16,29,6,13,24,23,15,12,5,25,8,7,4,18,21,12,17,7,5,25,30,6,28,5,17,3,29,1,26,3,7,4,21,2,10,7,2,6,10,28,1,8",20100,200
3,2,364208.25217343995,21.630669203202178,"24,30,4,24,4,30,21,1,7,15,29,14,12,24,10,6,16,20,3,4,18,13,15,10,27,9,17,30,10,6,14,11,26,30,25,28,22,20,11,3,8,6,26,16,23,5,8,29,12,29,21,27,11,23,3,22,16,30,12,24,13,23,29,4,12,22,24,12,27,1,27,21,2,20,13,28,17,2,7,22,15,9,16,29,6,13,10,23,15,12,5,11,8,7,4,18,21,12,17,7,7,25,30,6,28,5,17,3,29,1,26,3,21,4,21,2,10,7,2,6,10,28,1,8",20100,200
4,0,264772.84964669525,20.11920033754379,"20,15,10,15,27,9,30,4,12,26,2,3,27,15,1,7,19,30,5,16,23,28,18,22,16,8,14,30,17,3,21,24,14,15,28,15,10,22,7,9,17,14,12,16,13,7,1,16,17,9,7,1,28,3,4,29,2,24,19,6,9,2,12,5,29,19,27,8,5,27,25,10,19,9,17,19,2,23,11,2,5,7,20,13,30,26,7,29,12,11,18,15,25,18,28,18,11,3,15,24,23,20,16,8,13,27,13,11,9,21,11,1,25,4,22,12,23,1,4,6,24,8,29,14",20100,200
5,0,269142.33888260316,19.96285439398774,"26,20,23,20,17,25,2,21,23,5,20,14,22,1,7,6,4,6,29,27,13,11,6,22,5,11,13,5,9,3,17,16,24,30,27,24,28,26,1,9,3,30,19,24,8,18,4,19,21,28,30,22,9,18,5,4,18,28,21,12,8,4,1,26,19,2,15,16,19,2,30,25,16,29,20,10,2,12,22,7,22,14,24,7,5,10,15,25,26,23,20,26,9,14,27,29,3,23,10,7,30,3,27,13,2,2,13,24,22,1,18,11,7,21,29,6,3,2,12,15,16,25,20,21",20100,200
5,1,267227.7360793679,20.59082859484344,"26,1,23,19,17,11,30,21,14,5,20,14,22,1,5,6,4,6,21,27,13,11,25,22,5,12,13,5,9,3,17,16,24,16,27,18,28,26,25,9,3,30,19,23,8,29,4,19,3,28,30,9,6,18,26,4,18,28,21,12,8,4,1,26,2,10,15,23,19,14,30,24,16,8,20,10,2,12,22,7,22,14,24,7,7,10,15,25,26,12,20,16,9,23,13,29,23,13,10,7,30,3,27,10,2,2,28,24,14,1,18,11,7,9,29,6,3,2,22,15,16,25,20,21",20100,200
6,0,284926.9698058269,21.2818127882837,"16,8,29,28,13,23,5,1,1,28,28,22,30,24,25,27,21,2,29,2,24,8,16,25,2,4,10,10,10,19,30,19,9,13,20,27,12,26,14,13,14,4,9,22,15,19,15,4,19,12,29,1,9,23,4,11,27,5,1,11,8,1,26,9,23,7,22,21,26,5,7,20,3,20,13,16,26,11,1,11,18,7,6,5,8,6,22,6,3,23,17,19,16,18,12,21,21,3,25,24,15,30,27,3,19,18,5,8,21,28,5,17,8,17,22,10,29,2,9,23,24,14,3,2",20100,200
6,1,274396.92877109774,21.59434082243669,"29,8,29,28,13,23,20,1,22,28,19,22,19,24,25,27,21,2,10,2,24,12,16,25,21,4,10,10,10,19,30,19,9,13,20,27,12,26,14,13,14,4,20,8,15,22,15,29,19,12,10,5,9,23,4,11,27,5,1,11,8,1,26,22,23,7,18,21,26,5,7,20,3,4,13,16,26,7,1,13,18,7,6,17,8,6,22,16,3,23,17,19,16,18,12,21,21,3,25,24,15,30,27,26,19,18,5,5,21,28,5,17,8,17,22,11,29,12,9,23,3,14,3,2",20100,200
7,0,241689.40590142013,16.742626901282712,"29,21,26,14,12,20,20,30,16,11,15,3,28,15,18,5,9,16,19,21,4,8,12,6,2,25,5,17,21,10,1,16,5,18,27,27,18,2,13,19,4,21,21,24,24,19,30,13,22,19,10,14,17,9,10,11,15,20,21,10,30,6,26,25,7,25,4,20,20,15,6,28,9,21,17,8,20,14,23,22,1,9,28,15,27,5,28,29,27,29,7,14,25,1,15,14,4,2,23,26,22,24,3,18,18,8,10,18,7,23,29,19,22,18,22,15,21,14,12,13,4,8,12,7",20100,200
7,1,236896.43720871754,17.130349934805444,"29,21,26,14,12,20,20,30,5,11,15,3,28,15,28,5,9,16,19,21,4,8,12,6,2,25,5,17,21,10,1,16,5,16,27,27,18,2,13,19,4,10,21,23,24,19,30,13,22,20,10,14,17,9,11,11,15,20,21,10,30,6,26,15,7,25,4,20,20,12,6,28,9,21,17,8,20,14,23,22,1,9,28,12,27,5,28,29,27,29,7,14,25,1,15,14,11,2,23,26,22,24,3,19,18,8,10,18,7,23,29,19,22,18,22,15,21,14,12,13,4,8,19,7",20100,200
7,2,228289.06622051902,18.746970125566662,"29,21,26,14,12,20,20,30,5,11,15,3,28,15,28,24,9,16,19,29,4,8,12,6,2,25,5,17,21,10,1,16,19,13,27,8,18,2,13,19,21,10,21,18,24,19,30,13,22,20,10,14,17,9,9,11,15,20,21,10,30,30,26,15,7,25,4,20,20,1,6,28,9,21,17,8,1,14,23,22,1,9,28,12,5,5,12,29,27,29,7,14,25,1,15,14,11,2,23,26,22,24,3,27,4,8,10,18,5,23,29,19,22,18,22,15,21,14,12,13,4,8,15,7",20100,200
7,3,244938.46635606934,16.704756474995044,"29,21,26,11,12,20,20,30,7,11,15,3,28,15,28,14,9,16,19,21,4,8,10,6,7,25,5,17,21,10,1,16,5,18,27,27,18,2,13,21,4,29,21,24,24,29,30,13,21,9,10,14,17,5,10,11,15,5,21,10,30,6,26,25,7,25,19,8,20,20,6,28,9,21,17,8,20,14,23,4,1,9,28,15,27,5,12,29,27,20,7,14,25,1,15,14,17,2,23,26,22,24,3,19,18,8,10,19,7,23,29,19,22,18,22,15,21,14,12,13,4,8,5,7",20100,200
8,0,282526.96378783375,21.81854460977837,"6,16,5,23,10,6,14,12,18,9,21,1,9,27,25,11,25,7,24,20,13,28,10,14,16,2,6,5,12,4,4,20,25,1,27,15,24,29,22,20,29,22,21,16,18,24,17,12,2,23,7,11,7,7,3,15,26,25,1,18,15,17,15,8,16,11,5,24,22,4,3,30,26,11,9,8,23,12,6,22,2,10,25,3,16,27,30,19,10,30,14,25,13,21,30,28,12,5,8,4,17,1,28,26,26,16,20,3,29,3,19,11,23,8,6,14,18,23,21,17,20,21,30,2",20100,200
8,1,286316.7564177135,21.24105040298672,"8,29,5,23,10,5,23,12,5,9,22,1,11,27,25,7,25,7,24,20,13,10,10,14,23,2,19,5,7,18,4,20,17,19,27,30,24,29,11,20,29,15,21,16,18,24,17,4,1,23,24,11,7,7,3,15,26,24,1,25,25,18,15,8,16,14,5,26,22,28,3,3,29,16,9,8,20,12,6,18,2,10,16,3,2,27,30,1,21,19,14,25,13,18,29,28,12,26,8,4,6,22,28,18,26,16,20,3,6,30,19,11,23,8,12,19,13,27,21,17,30,21,8,6",20100,200
9,0,215533.2255429969,16.063900176759343,"22,20,17,7,12,5,13,24,2,26,5,23,5,6,30,7,12,29,5,2,14,11,19,21,30,8,20,30,10,15,18,22,10,9,1,29,9,11,10,3,13,13,3,27,28,28,7,16,27,8,25,17,14,28,1,11,6,18,17,25,3,3,7,18,6,29,18,30,18,27,24,6,23,19,25,4,3,19,9,3,28,8,16,28,20,4,27,20,4,21,2,21,12,24,20,15,1,5,22,15,1,26,13,20,4,19,14,28,30,27,21,16,29,20,17,9,29,26,19,2,30,7,30,27",20100,200
9,1,203882.08677542722,16.95038511525787,"22,9,17,7,12,23,13,24,2,26,16,23,5,6,30,7,18,29,5,1,14,11,19,21,1,8,20,30,10,10,18,22,10,4,1,29,9,11,9,3,13,13,3,16,28,29,7,15,25,10,10,17,14,1,21,11,6,18,17,25,3,3,7,8,6,12,8,30,18,27,24,6,23,19,25,4,3,19,9,3,28,8,16,28,20,4,27,20,4,21,2,2,12,24,2,15,1,5,22,15,1,26,13,20,4,19,14,28,30,27,21,16,29,20,17,9,29,26,19,2,30,7,30,27",20100,200
9,2,220274.65588542842,15.162966581627606,"22,9,17,7,12,5,13,24,2,26,3,23,5,6,30,20,12,29,5,6,14,27,19,21,1,8,20,30,10,12,18,22,10,9,1,29,9,11,9,3,13,16,3,20,28,28,7,15,27,10,4,17,14,10,1,11,6,18,17,25,3,3,7,26,6,12,8,30,18,27,24,24,23,19,25,4,3,19,9,19,28,8,16,30,20,4,27,23,4,21,2,21,12,10,16,15,1,5,22,15,1,26,13,19,4,19,14,28,30,27,21,16,29,20,17,20,29,28,19,2,30,7,30,27",20100,200
10,0,290877.79203876655,21.384937585963527,"29,1,7,20,29,27,1,11,19,23,22,10,3,29,7,30,27,22,27,28,3,1,24,9,29,19,4,21,2,12,11,13,14,24,2,15,28,6,7,29,23,5,12,4,10,3,22,15,8,5,3,21,15,29,30,25,1,28,26,1,30,3,23,11,27,4,20,13,12,18,9,8,15,21,24,14,21,29,25,24,5,13,14,21,28,19,16,30,16,9,17,23,4,15,12,16,26,30,6,18,2,18,17,8,26,20,27,26,3,22,21,5,26,18,12,8,30,17,24,8,7,25,28,26",20100,200
10,1,268981.5570274996,25.939330926006726,"29,1,7,20,29,27,1,11,14,23,3,10,30,29,19,30,27,22,30,14,3,1,14,9,11,19,4,21,2,12,11,13,14,24,2,15,28,6,7,27,23,5,12,7,10,29,22,26,12,3,23,2,29,4,23,25,20,30,18,27,30,5,23,11,27,4,16,2,17,1,9,8,15,21,24,28,21,1,3,7,5,13,14,2,28,19,16,30,16,9,17,5,4,13,12,16,26,12,6,18,24,18,17,8,26,20,4,26,3,22,21,5,26,1,12,8,2,15,24,8,7,25,22,1",20100,200
10,2,272390.9028840449,22.433209509316516,"29,1,7,5,29,27,1,11,14,23,3,10,3,29,19,30,27,22,30,14,3,1,27,9,26,19,24,21,2,12,11,13,14,29,2,26,28,15,7,27,23,21,17,4,10,5,22,15,13,3,18,2,30,4,29,25,20,1,18,27,30,5,23,4,27,4,30,2,17,18,9,8,15,21,24,20,21,1,25,7,5,13,14,27,28,19,16,30,16,9,6,16,4,13,12,16,26,12,6,18,29,18,17,8,26,20,4,26,3,22,21,5,26,1,12,8,2,21,24,8,7,25,9,1",20100,200
11,0,245930.5127691165,18.73096070384242,"9,18,2,5,1,11,18,30,25,15,11,23,11,25,1,29,6,14,4,12,7,10,19,19,25,22,8,12,5,21,4,1,11,18,29,26,24,12,21,10,22,20,4,6,13,30,27,24,30,16,17,20,17,25,15,23,21,27,17,8,28,9,6,30,5,12,25,7,26,24,13,7,20,7,26,21,27,2,28,25,9,9,11,10,14,3,24,3,7,5,18,14,6,28,9,18,8,16,2,8,15,19,16,17,10,10,26,3,10,17,5,30,27,27,15,9,28,20,28,25,20,29,21,3",20100,200
