run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,123831.8755750147,3.1010852420788018,20100,200
1,0,125251.0691802857,3.1290002751865016,20100,200
2,0,128120.79505300865,3.1080875051240926,20100,200
3,0,136046.74008354102,3.3047053582317893,20100,200
3,1,134403.8446432299,3.4019481797595588,20100,200
3,2,140127.1072434762,3.2716488504083183,20100,200
4,0,131836.9074269195,2.6327472390435354,20100,200
5,0,129096.03224171014,3.3112770596244983,20100,200
5,1,130167.75680988174,3.3047053582317893,20100,200
6,0,129438.85420293915,3.2583323462530553,20100,200
7,0,131524.83240248158,2.979530037414681,20100,200
7,1,129660.3051831671,3.008573131458598,20100,200
7,2,124965.91611067909,3.030172778892862,20100,200
8,0,124757.5794472284,2.9428231240610616,20100,200
9,0,127265.2758794291,3.2045130038248275,20100,200
9,1,124757.70926615658,3.2649973873662606,20100,200
9,2,128311.93429076795,3.177261485651466,20100,200
9,3,130513.76989235818,3.0587350511970715,20100,200
9,4,123101.92231234629,3.4526913422323022,20100,200
9,5,125737.80940307846,3.2315347182353897,20100,200
10,0,128998.14841608988,3.1635476962525835,20100,200
11,0,127110.86744049392,3.1977218970405876,20100,200
12,0,126064.23653903272,2.8670972975433267,20100,200
12,1,124645.43396283382,2.9722249213319585,20100,200
12,2,119653.35392841275,3.037338527529135,20100,200
13,0,118586.03624910886,3.001338705722003,20100,200
13,1,124260.4345923383,2.7677080661638627,20100,200
14,0,122817.40659353905,3.001338705722003,20100,200
14,1,125423.30371981855,2.7598423285830918,20100,200
15,0,129384.77228579335,2.8831201592288838,20100,200
15,1,124335.90560978386,3.030172778892862,20100,200
16,0,130153.19529380364,3.1010852420788018,20100,200
16,1,129881.41816644736,3.2248005169763783,20100,200
17,0,130629.19632189836,3.4083323896942535,20100,200
18,0,123311.9375964733,2.4688034648801347,20100,200
19,0,128568.33508239509,3.030172778892862,20100,200
19,1,126839.51834477817,3.2180522235385727,20100,200
20,0,131232.9140458994,3.3698457106255693,20100,200
21,0,120443.77644664228,2.572300464300184,20100,200
22,0,133169.94383085088,2.796470438531444,20100,200
22,1,124217.68409365209,3.0587350511970715,20100,200
22,2,122995.73611833673,3.1840962311264596,20100,200
23,0,129421.60523360461,3.149774199006319,20100,200
23,1,132608.76748017583,3.142864814759988,20100,200
24,0,125100.27316497784,3.2045130038248275,20100,200
24,1,131322.73433781485,2.9810926822638226,20100,200
24,2,132677.71225516015,2.8123185812544667,20100,200
24,3,127834.04678903904,3.022990044488027,20100,200
25,0,130481.37496412091,3.1635476962525835,20100,200
25,1,136064.11884406552,3.06583404219653,20100,200
26,0,124501.26370894449,2.9649018064882355,20100,200
27,0,130028.14141343425,2.9722249213319585,20100,200
27,1,129611.15969053756,3.2180522235385727,20100,200
28,0,127580.84428214353,3.3955519664554994,20100,200
28,1,124666.76276600023,3.427413669408412,20100,200
28,2,130146.36353305212,3.170412005928345,20100,200
28,3,128146.10830413835,3.3112770596244983,20100,200
29,0,134444.23990986167,3.156668459879096,20100,200
29,1,132975.98195118707,3.811793955200072,20100,200
29,2,134218.9621471788,3.6066652223993603,20100,200
30,0,142123.59011375142,3.3925117247356917,20100,200
30,1,143743.16936863706,3.062958516864546,20100,200
30,2,134663.19444923662,3.4400757234378965,20100,200
30,3,131585.69833774708,3.5945900329141702,20100,200
