run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,2941037.7848640727,73.8460525338111,10050,200
1,0,2711444.834035732,68.49079846830806,10050,200
2,0,2832648.2384390407,73.4396712149484,10050,200
3,0,2983777.2319933763,79.5731443903012,10050,200
3,1,2971281.229205249,80.00852751317443,10050,200
3,2,3256770.003163519,76.23402225768025,10050,200
3,3,3039622.8369272747,76.37660183694823,10050,200
4,0,3178708.9189365264,79.23087240143867,10050,200
5,0,2899567.6725052632,73.45271931539627,10050,200
5,1,2898512.8514142623,75.435056891075,10050,200
5,2,2872901.861261433,80.19254105896044,10050,200
5,3,3015689.853376525,72.16840569919385,10050,200
6,0,2765871.3567596334,71.13711741999664,10050,200
7,0,2924782.710495219,73.7917247494125,10050,200
8,0,2810291.8289446817,70.2777962196671,10050,200
9,0,2972081.2633156637,74.53026437736366,10050,200
10,0,3045851.2490712246,74.48049168401788,10050,200
10,1,2988394.1645234316,75.94906390575017,10050,200
10,2,2956210.389111433,77.76064969824426,10050,200
11,0,2642748.8423673674,66.2791594305962,10050,200
12,0,2992297.5415689275,75.42442337527716,10050,200
13,0,2842712.9760990283,76.60620280473196,10050,200
13,1,3059756.523444252,75.92217709488045,10050,200
14,0,2989321.717532626,76.27028347589287,10050,200
14,1,3015835.3215145376,74.23154860407887,10050,200
15,0,2995822.1983518144,74.61267971884128,10050,200
15,1,2969473.4940947383,75.13979953943442,10050,200
15,2,2957581.2447319264,75.67164467724831,10050,200
16,0,2509204.978867263,65.05614478914646,10050,200
17,0,3179986.1486482504,76.47995844874218,10050,200
17,1,3002332.237074972,78.9036193180836,10050,200
17,2,3086835.096641214,77.75864030121062,10050,200
17,3,3163102.582145853,76.73621832105141,10050,200
17,4,3247397.0628584996,75.71042368688505,10050,200
18,0,2603850.6027640966,68.32786992259983,10050,200
19,0,2803084.9152955124,69.37991646117572,10050,200
19,1,2802648.1492635915,71.36489198590384,10050,200
20,0,2855120.1281422875,75.117476715873,10050,200
20,1,2988326.936524918,74.2092333079902,10050,200
20,2,2977480.786405234,74.99590194243764,10050,200
21,0,3050167.578849053,76.93293816582329,10050,200
22,0,2936115.1432830803,75.29449055647912,10050,200
22,1,3182077.981014504,73.7769011377752,10050,200
23,0,3127416.2579344343,80.94088568101037,10050,200
23,1,3119093.7963656657,82.87723033595972,10050,200
24,0,2987280.5028743977,75.46142706592812,10050,200
24,1,3036864.435522325,74.50244609961736,10050,200
25,0,3062819.1257409165,76.40660077174653,10050,200
25,1,3015583.430391184,76.84840255220918,10050,200
25,2,3009319.9824757427,78.47604395499552,10050,200
26,0,2738729.338981992,70.89876802991517,10050,200
26,1,2754697.1084659724,68.44043864188083,10050,200
27,0,2943243.926827249,76.56022884953424,10050,200
27,1,2859107.530600225,76.6161284684436,10050,200
27,2,2985136.6949297553,74.22186543168881,10050,200
28,0,2918878.8578678863,72.76496048804252,10050,200
28,1,2778270.6840555286,72.92440360738685,10050,200
29,0,2847553.7108360194,73.91302529432632,10050,200
29,1,2814843.3718832135,74.22986466483502,10050,200
29,2,2903817.872143689,73.07665706749127,10050,200
30,0,2666000.235789571,67.31432716363624,10050,200
